|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0856](https://leetcode.com/problems/score-of-parentheses)  |  [Score of Parentheses](leetcode/0800-0899/0856.Score%20of%20Parentheses/README_EN.md)  |  `Stack`,`String`  |  Medium  |    |
|  [0857](https://leetcode.com/problems/minimum-cost-to-hire-k-workers)  |  [Minimum Cost to Hire K Workers](leetcode/0800-0899/0857.Minimum%20Cost%20to%20Hire%20K%20Workers/README_EN.md)  |  `Heap`  |  Hard  |    |
|  [0858](https://leetcode.com/problems/mirror-reflection)  |  [Mirror Reflection](leetcode/0800-0899/0858.Mirror%20Reflection/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0859](https://leetcode.com/problems/buddy-strings)  |  [Buddy Strings](leetcode/0800-0899/0859.Buddy%20Strings/README_EN.md)  |  `String`  |  Easy  |    |
|  [0860](https://leetcode.com/problems/lemonade-change)  |  [Lemonade Change](leetcode/0800-0899/0860.Lemonade%20Change/README_EN.md)  |  `Greedy`  |  Easy  |    |
|  [0861](https://leetcode.com/problems/score-after-flipping-matrix)  |  [Score After Flipping Matrix](leetcode/0800-0899/0861.Score%20After%20Flipping%20Matrix/README_EN.md)  |  `Greedy`  |  Medium  |    |
|  [0862](https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k)  |  [Shortest Subarray with Sum at Least K](leetcode/0800-0899/0862.Shortest%20Subarray%20with%20Sum%20at%20Least%20K/README_EN.md)  |  `Queue`,`Binary Search`  |  Hard  |    |
|  [0863](https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree)  |  [All Nodes Distance K in Binary Tree](leetcode/0800-0899/0863.All%20Nodes%20Distance%20K%20in%20Binary%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`  |  Medium  |    |
|  [0864](https://leetcode.com/problems/shortest-path-to-get-all-keys)  |  [Shortest Path to Get All Keys](leetcode/0800-0899/0864.Shortest%20Path%20to%20Get%20All%20Keys/README_EN.md)  |  `Heap`,`Breadth-first Search`  |  Hard  |    |
|  [0865](https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes)  |  [Smallest Subtree with all the Deepest Nodes](leetcode/0800-0899/0865.Smallest%20Subtree%20with%20all%20the%20Deepest%20Nodes/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`,`Recursion`  |  Medium  |    |
|  [0866](https://leetcode.com/problems/prime-palindrome)  |  [Prime Palindrome](leetcode/0800-0899/0866.Prime%20Palindrome/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0867](https://leetcode.com/problems/transpose-matrix)  |  [Transpose Matrix](leetcode/0800-0899/0867.Transpose%20Matrix/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0868](https://leetcode.com/problems/binary-gap)  |  [Binary Gap](leetcode/0800-0899/0868.Binary%20Gap/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0869](https://leetcode.com/problems/reordered-power-of-2)  |  [Reordered Power of 2](leetcode/0800-0899/0869.Reordered%20Power%20of%202/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0870](https://leetcode.com/problems/advantage-shuffle)  |  [Advantage Shuffle](leetcode/0800-0899/0870.Advantage%20Shuffle/README_EN.md)  |  `Greedy`,`Array`  |  Medium  |    |
|  [0871](https://leetcode.com/problems/minimum-number-of-refueling-stops)  |  [Minimum Number of Refueling Stops](leetcode/0800-0899/0871.Minimum%20Number%20of%20Refueling%20Stops/README_EN.md)  |  `Heap`,`Dynamic Programming`  |  Hard  |    |
|  [0872](https://leetcode.com/problems/leaf-similar-trees)  |  [Leaf-Similar Trees](leetcode/0800-0899/0872.Leaf-Similar%20Trees/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Easy  |    |
|  [0873](https://leetcode.com/problems/length-of-longest-fibonacci-subsequence)  |  [Length of Longest Fibonacci Subsequence](leetcode/0800-0899/0873.Length%20of%20Longest%20Fibonacci%20Subsequence/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Medium  |    |
|  [0874](https://leetcode.com/problems/walking-robot-simulation)  |  [Walking Robot Simulation](leetcode/0800-0899/0874.Walking%20Robot%20Simulation/README_EN.md)  |  `Greedy`  |  Easy  |    |
|  [0875](https://leetcode.com/problems/koko-eating-bananas)  |  [Koko Eating Bananas](leetcode/0800-0899/0875.Koko%20Eating%20Bananas/README_EN.md)  |  `Binary Search`  |  Medium  |    |
|  [0876](https://leetcode.com/problems/middle-of-the-linked-list)  |  [Middle of the Linked List](leetcode/0800-0899/0876.Middle%20of%20the%20Linked%20List/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0877](https://leetcode.com/problems/stone-game)  |  [Stone Game](leetcode/0800-0899/0877.Stone%20Game/README_EN.md)  |  `Minimax`,`Math`,`Dynamic Programming`  |  Medium  |    |
|  [0878](https://leetcode.com/problems/nth-magical-number)  |  [Nth Magical Number](leetcode/0800-0899/0878.Nth%20Magical%20Number/README_EN.md)  |  `Math`,`Binary Search`  |  Hard  |    |
|  [0879](https://leetcode.com/problems/profitable-schemes)  |  [Profitable Schemes](leetcode/0800-0899/0879.Profitable%20Schemes/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0880](https://leetcode.com/problems/decoded-string-at-index)  |  [Decoded String at Index](leetcode/0800-0899/0880.Decoded%20String%20at%20Index/README_EN.md)  |  `Stack`  |  Medium  |    |
|  [0881](https://leetcode.com/problems/boats-to-save-people)  |  [Boats to Save People](leetcode/0800-0899/0881.Boats%20to%20Save%20People/README_EN.md)  |  `Greedy`,`Two Pointers`  |  Medium  |    |
|  [0882](https://leetcode.com/problems/reachable-nodes-in-subdivided-graph)  |  [Reachable Nodes In Subdivided Graph](leetcode/0800-0899/0882.Reachable%20Nodes%20In%20Subdivided%20Graph/README_EN.md)  |  `Heap`  |  Hard  |    |
|  [0883](https://leetcode.com/problems/projection-area-of-3d-shapes)  |  [Projection Area of 3D Shapes](leetcode/0800-0899/0883.Projection%20Area%20of%203D%20Shapes/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0884](https://leetcode.com/problems/uncommon-words-from-two-sentences)  |  [Uncommon Words from Two Sentences](leetcode/0800-0899/0884.Uncommon%20Words%20from%20Two%20Sentences/README_EN.md)  |  `Hash Table`  |  Easy  |    |
|  [0885](https://leetcode.com/problems/spiral-matrix-iii)  |  [Spiral Matrix III](leetcode/0800-0899/0885.Spiral%20Matrix%20III/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0886](https://leetcode.com/problems/possible-bipartition)  |  [Possible Bipartition](leetcode/0800-0899/0886.Possible%20Bipartition/README_EN.md)  |  `Depth-first Search`,`Graph`  |  Medium  |    |
|  [0887](https://leetcode.com/problems/super-egg-drop)  |  [Super Egg Drop](leetcode/0800-0899/0887.Super%20Egg%20Drop/README_EN.md)  |  `Math`,`Binary Search`,`Dynamic Programming`  |  Hard  |    |
|  [0888](https://leetcode.com/problems/fair-candy-swap)  |  [Fair Candy Swap](leetcode/0800-0899/0888.Fair%20Candy%20Swap/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0889](https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal)  |  [Construct Binary Tree from Preorder and Postorder Traversal](leetcode/0800-0899/0889.Construct%20Binary%20Tree%20from%20Preorder%20and%20Postorder%20Traversal/README_EN.md)  |  `Tree`  |  Medium  |    |
|  [0890](https://leetcode.com/problems/find-and-replace-pattern)  |  [Find and Replace Pattern](leetcode/0800-0899/0890.Find%20and%20Replace%20Pattern/README_EN.md)  |  `String`  |  Medium  |    |
|  [0891](https://leetcode.com/problems/sum-of-subsequence-widths)  |  [Sum of Subsequence Widths](leetcode/0800-0899/0891.Sum%20of%20Subsequence%20Widths/README_EN.md)  |  `Array`,`Math`  |  Hard  |    |
|  [0892](https://leetcode.com/problems/surface-area-of-3d-shapes)  |  [Surface Area of 3D Shapes](leetcode/0800-0899/0892.Surface%20Area%20of%203D%20Shapes/README_EN.md)  |  `Geometry`,`Math`  |  Easy  |    |
|  [0893](https://leetcode.com/problems/groups-of-special-equivalent-strings)  |  [Groups of Special-Equivalent Strings](leetcode/0800-0899/0893.Groups%20of%20Special-Equivalent%20Strings/README_EN.md)  |  `String`  |  Easy  |    |
|  [0894](https://leetcode.com/problems/all-possible-full-binary-trees)  |  [All Possible Full Binary Trees](leetcode/0800-0899/0894.All%20Possible%20Full%20Binary%20Trees/README_EN.md)  |  `Tree`,`Recursion`  |  Medium  |    |
|  [0895](https://leetcode.com/problems/maximum-frequency-stack)  |  [Maximum Frequency Stack](leetcode/0800-0899/0895.Maximum%20Frequency%20Stack/README_EN.md)  |  `Stack`,`Hash Table`  |  Hard  |    |
|  [0896](https://leetcode.com/problems/monotonic-array)  |  [Monotonic Array](leetcode/0800-0899/0896.Monotonic%20Array/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0897](https://leetcode.com/problems/increasing-order-search-tree)  |  [Increasing Order Search Tree](leetcode/0800-0899/0897.Increasing%20Order%20Search%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Easy  |    |
|  [0898](https://leetcode.com/problems/bitwise-ors-of-subarrays)  |  [Bitwise ORs of Subarrays](leetcode/0800-0899/0898.Bitwise%20ORs%20of%20Subarrays/README_EN.md)  |  `Bit Manipulation`,`Dynamic Programming`  |  Medium  |    |
|  [0899](https://leetcode.com/problems/orderly-queue)  |  [Orderly Queue](leetcode/0800-0899/0899.Orderly%20Queue/README_EN.md)  |  `Math`,`String`  |  Hard  |    |
|  [0900](https://leetcode.com/problems/rle-iterator)  |  [RLE Iterator](leetcode/0900-0999/0900.RLE%20Iterator/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0901](https://leetcode.com/problems/online-stock-span)  |  [Online Stock Span](leetcode/0900-0999/0901.Online%20Stock%20Span/README_EN.md)  |  `Stack`  |  Medium  |    |
|  [0902](https://leetcode.com/problems/numbers-at-most-n-given-digit-set)  |  [Numbers At Most N Given Digit Set](leetcode/0900-0999/0902.Numbers%20At%20Most%20N%20Given%20Digit%20Set/README_EN.md)  |  `Math`,`Dynamic Programming`  |  Hard  |    |
|  [0903](https://leetcode.com/problems/valid-permutations-for-di-sequence)  |  [Valid Permutations for DI Sequence](leetcode/0900-0999/0903.Valid%20Permutations%20for%20DI%20Sequence/README_EN.md)  |  `Divide and Conquer`,`Dynamic Programming`  |  Hard  |    |
|  [0904](https://leetcode.com/problems/fruit-into-baskets)  |  [Fruit Into Baskets](leetcode/0900-0999/0904.Fruit%20Into%20Baskets/README_EN.md)  |  `Two Pointers`  |  Medium  |    |
|  [0905](https://leetcode.com/problems/sort-array-by-parity)  |  [Sort Array By Parity](leetcode/0900-0999/0905.Sort%20Array%20By%20Parity/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0906](https://leetcode.com/problems/super-palindromes)  |  [Super Palindromes](leetcode/0900-0999/0906.Super%20Palindromes/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0907](https://leetcode.com/problems/sum-of-subarray-minimums)  |  [Sum of Subarray Minimums](leetcode/0900-0999/0907.Sum%20of%20Subarray%20Minimums/README_EN.md)  |  `Stack`,`Array`  |  Medium  |    |
|  [0908](https://leetcode.com/problems/smallest-range-i)  |  [Smallest Range I](leetcode/0900-0999/0908.Smallest%20Range%20I/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0909](https://leetcode.com/problems/snakes-and-ladders)  |  [Snakes and Ladders](leetcode/0900-0999/0909.Snakes%20and%20Ladders/README_EN.md)  |  `Breadth-first Search`  |  Medium  |    |
|  [0910](https://leetcode.com/problems/smallest-range-ii)  |  [Smallest Range II](leetcode/0900-0999/0910.Smallest%20Range%20II/README_EN.md)  |  `Greedy`,`Math`  |  Medium  |    |
|  [0911](https://leetcode.com/problems/online-election)  |  [Online Election](leetcode/0900-0999/0911.Online%20Election/README_EN.md)  |  `Binary Search`  |  Medium  |    |
|  [0912](https://leetcode.com/problems/sort-an-array)  |  [Sort an Array](leetcode/0900-0999/0912.Sort%20an%20Array/README_EN.md)  |    |  Medium  |    |
|  [0913](https://leetcode.com/problems/cat-and-mouse)  |  [Cat and Mouse](leetcode/0900-0999/0913.Cat%20and%20Mouse/README_EN.md)  |  `Breadth-first Search`,`Minimax`  |  Hard  |    |
|  [0914](https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards)  |  [X of a Kind in a Deck of Cards](leetcode/0900-0999/0914.X%20of%20a%20Kind%20in%20a%20Deck%20of%20Cards/README_EN.md)  |  `Array`,`Math`  |  Easy  |    |
|  [0915](https://leetcode.com/problems/partition-array-into-disjoint-intervals)  |  [Partition Array into Disjoint Intervals](leetcode/0900-0999/0915.Partition%20Array%20into%20Disjoint%20Intervals/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0916](https://leetcode.com/problems/word-subsets)  |  [Word Subsets](leetcode/0900-0999/0916.Word%20Subsets/README_EN.md)  |  `String`  |  Medium  |    |
|  [0917](https://leetcode.com/problems/reverse-only-letters)  |  [Reverse Only Letters](leetcode/0900-0999/0917.Reverse%20Only%20Letters/README_EN.md)  |  `String`  |  Easy  |    |
|  [0918](https://leetcode.com/problems/maximum-sum-circular-subarray)  |  [Maximum Sum Circular Subarray](leetcode/0900-0999/0918.Maximum%20Sum%20Circular%20Subarray/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0919](https://leetcode.com/problems/complete-binary-tree-inserter)  |  [Complete Binary Tree Inserter](leetcode/0900-0999/0919.Complete%20Binary%20Tree%20Inserter/README_EN.md)  |  `Tree`  |  Medium  |    |
|  [0920](https://leetcode.com/problems/number-of-music-playlists)  |  [Number of Music Playlists](leetcode/0900-0999/0920.Number%20of%20Music%20Playlists/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0921](https://leetcode.com/problems/minimum-add-to-make-parentheses-valid)  |  [Minimum Add to Make Parentheses Valid](leetcode/0900-0999/0921.Minimum%20Add%20to%20Make%20Parentheses%20Valid/README_EN.md)  |  `Stack`,`Greedy`  |  Medium  |    |
|  [0922](https://leetcode.com/problems/sort-array-by-parity-ii)  |  [Sort Array By Parity II](leetcode/0900-0999/0922.Sort%20Array%20By%20Parity%20II/README_EN.md)  |  `Sort`,`Array`  |  Easy  |    |
|  [0923](https://leetcode.com/problems/3sum-with-multiplicity)  |  [3Sum With Multiplicity](leetcode/0900-0999/0923.3Sum%20With%20Multiplicity/README_EN.md)  |  `Two Pointers`  |  Medium  |    |
|  [0924](https://leetcode.com/problems/minimize-malware-spread)  |  [Minimize Malware Spread](leetcode/0900-0999/0924.Minimize%20Malware%20Spread/README_EN.md)  |  `Depth-first Search`,`Union Find`  |  Hard  |    |
|  [0925](https://leetcode.com/problems/long-pressed-name)  |  [Long Pressed Name](leetcode/0900-0999/0925.Long%20Pressed%20Name/README_EN.md)  |  `Two Pointers`,`String`  |  Easy  |    |
|  [0926](https://leetcode.com/problems/flip-string-to-monotone-increasing)  |  [Flip String to Monotone Increasing](leetcode/0900-0999/0926.Flip%20String%20to%20Monotone%20Increasing/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0927](https://leetcode.com/problems/three-equal-parts)  |  [Three Equal Parts](leetcode/0900-0999/0927.Three%20Equal%20Parts/README_EN.md)  |  `Greedy`,`Math`,`Binary Search`  |  Hard  |    |
|  [0928](https://leetcode.com/problems/minimize-malware-spread-ii)  |  [Minimize Malware Spread II](leetcode/0900-0999/0928.Minimize%20Malware%20Spread%20II/README_EN.md)  |  `Depth-first Search`,`Union Find`,`Graph`  |  Hard  |    |
|  [0929](https://leetcode.com/problems/unique-email-addresses)  |  [Unique Email Addresses](leetcode/0900-0999/0929.Unique%20Email%20Addresses/README_EN.md)  |  `String`  |  Easy  |    |
|  [0930](https://leetcode.com/problems/binary-subarrays-with-sum)  |  [Binary Subarrays With Sum](leetcode/0900-0999/0930.Binary%20Subarrays%20With%20Sum/README_EN.md)  |  `Hash Table`,`Two Pointers`  |  Medium  |    |
|  [0931](https://leetcode.com/problems/minimum-falling-path-sum)  |  [Minimum Falling Path Sum](leetcode/0900-0999/0931.Minimum%20Falling%20Path%20Sum/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0932](https://leetcode.com/problems/beautiful-array)  |  [Beautiful Array](leetcode/0900-0999/0932.Beautiful%20Array/README_EN.md)  |  `Divide and Conquer`  |  Medium  |    |
|  [0933](https://leetcode.com/problems/number-of-recent-calls)  |  [Number of Recent Calls](leetcode/0900-0999/0933.Number%20of%20Recent%20Calls/README_EN.md)  |  `Queue`  |  Easy  |    |
|  [0934](https://leetcode.com/problems/shortest-bridge)  |  [Shortest Bridge](leetcode/0900-0999/0934.Shortest%20Bridge/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`  |  Medium  |    |
|  [0935](https://leetcode.com/problems/knight-dialer)  |  [Knight Dialer](leetcode/0900-0999/0935.Knight%20Dialer/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0936](https://leetcode.com/problems/stamping-the-sequence)  |  [Stamping The Sequence](leetcode/0900-0999/0936.Stamping%20The%20Sequence/README_EN.md)  |  `Greedy`,`String`  |  Hard  |    |
|  [0937](https://leetcode.com/problems/reorder-data-in-log-files)  |  [Reorder Data in Log Files](leetcode/0900-0999/0937.Reorder%20Data%20in%20Log%20Files/README_EN.md)  |  `String`  |  Easy  |    |
|  [0938](https://leetcode.com/problems/range-sum-of-bst)  |  [Range Sum of BST](leetcode/0900-0999/0938.Range%20Sum%20of%20BST/README_EN.md)  |  `Tree`,`Depth-first Search`,`Recursion`  |  Easy  |    |
|  [0939](https://leetcode.com/problems/minimum-area-rectangle)  |  [Minimum Area Rectangle](leetcode/0900-0999/0939.Minimum%20Area%20Rectangle/README_EN.md)  |  `Hash Table`  |  Medium  |    |
|  [0940](https://leetcode.com/problems/distinct-subsequences-ii)  |  [Distinct Subsequences II](leetcode/0900-0999/0940.Distinct%20Subsequences%20II/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0941](https://leetcode.com/problems/valid-mountain-array)  |  [Valid Mountain Array](leetcode/0900-0999/0941.Valid%20Mountain%20Array/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0942](https://leetcode.com/problems/di-string-match)  |  [DI String Match](leetcode/0900-0999/0942.DI%20String%20Match/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0943](https://leetcode.com/problems/find-the-shortest-superstring)  |  [Find the Shortest Superstring](leetcode/0900-0999/0943.Find%20the%20Shortest%20Superstring/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0944](https://leetcode.com/problems/delete-columns-to-make-sorted)  |  [Delete Columns to Make Sorted](leetcode/0900-0999/0944.Delete%20Columns%20to%20Make%20Sorted/README_EN.md)  |  `Greedy`  |  Easy  |    |
